DISP, '2013-08-01-00:00:00' 
735481.875000,25.773248
735481.916667,25.792701
735481.958333,25.817519
735482.000000,25.791858
735482.041667,25.761951
735482.083333,25.772551
735482.125000,25.758360
735482.166667,25.729549
735482.208333,25.715851
735482.250000,25.702586
735482.291667,25.682158
735482.333333,25.670980
735482.375000,25.647530
735482.416667,25.648872
735482.458333,25.633800
735482.500000,25.604283
735482.541667,25.615017
735482.583333,25.628853
735482.625000,25.645662
735482.666667,25.648213
735482.708333,25.638112
735482.750000,25.655503
735482.791667,25.666769
735482.833333,25.690352
735482.875000,25.677706
735482.916667,25.662466
735482.958333,25.703045
735483.000000,25.721348
735483.041667,25.735402
735483.083333,25.751108
735483.125000,25.774149
735483.166667,25.759313
735483.208333,25.724587
735483.250000,25.711197
735483.291667,25.723577
735483.333333,25.700505
735483.375000,25.734109
735483.416667,25.701747
735483.458333,25.683461
735483.500000,25.688631
735483.541667,25.695648
735483.583333,25.682025
735483.625000,25.660534
735483.666667,25.654168
735483.708333,25.628430
735483.750000,25.630303
735483.791667,25.616851
735483.833333,25.625224
735483.875000,25.608488
735483.916667,25.606884
735483.958333,25.622879
735484.000000,25.646379
735484.041667,25.696704
735484.083333,25.749663
735484.125000,25.789445
735484.166667,25.825356
735484.208333,25.826248
735484.250000,25.807108
735484.291667,25.791639
735484.333333,25.780056
735484.375000,25.761372
735484.416667,25.745229
735484.458333,25.736869
735484.500000,25.741093
735484.541667,25.728335
735484.583333,25.709355
735484.625000,25.672779
735484.666667,25.657556
735484.708333,25.696211
735484.750000,25.688514
735484.791667,25.707271
735484.833333,25.725651
735484.875000,25.763378
735484.916667,25.738744
735484.958333,25.752072
735485.000000,25.744141
735485.041667,25.759734
735485.083333,25.740723
735485.125000,25.726939
735485.166667,25.763125
735485.208333,25.752354
735485.250000,25.737023
735485.291667,25.722620
735485.333333,25.729134
735485.375000,25.749997
735485.416667,25.700819
735485.458333,25.680673
735485.500000,25.663752
735485.541667,25.640391
735485.583333,25.632328
735485.625000,25.618555
735485.666667,25.614192
735485.708333,25.603742
735485.750000,25.630878
735485.791667,25.660500
735485.833333,25.685085
735485.875000,25.692333
735485.916667,25.718323
735485.958333,25.739561
735486.000000,25.752340
735486.041667,25.711185
735486.083333,25.736881
735486.125000,25.754088
735486.166667,25.752505
735486.208333,25.750975
735486.250000,25.759787
735486.291667,25.728922
735486.333333,25.741526
735486.375000,25.751301
735486.416667,25.766015
735486.458333,25.745804
735486.500000,25.727449
735486.541667,25.714006
735486.583333,25.747732
735486.625000,25.766407
735486.666667,25.756451
735486.708333,25.776419
735486.750000,25.785271
735486.791667,25.805635
735486.833333,25.836901
735486.875000,25.842675
735486.916667,25.823155
735486.958333,25.834717
735487.000000,25.826090
735487.041667,25.875908
735487.083333,25.917099
735487.125000,25.931286
735487.166667,25.957734
735487.208333,25.954376
735487.250000,25.969370
735487.291667,25.958085
735487.333333,25.903602
735487.375000,25.867926
735487.416667,25.873019
735487.458333,25.845579
735487.500000,25.817945
735487.541667,25.796657
735487.583333,25.807715
735487.625000,25.791408
735487.666667,25.785240
735487.708333,25.801251
735487.750000,25.809486
735487.791667,25.829897
735487.833333,25.854757
735487.875000,25.887544
735487.916667,25.870108
735487.958333,25.872178
735488.000000,25.877359
735488.041667,25.891498
735488.083333,25.899930
735488.125000,25.892535
735488.166667,25.904591
735488.208333,25.899778
735488.250000,25.874280
735488.291667,25.859219
735488.333333,25.846291
735488.375000,25.853011
735488.416667,25.847353
735488.458333,25.819125
735488.500000,25.794336
735488.541667,25.831686
735488.583333,25.813632
735488.625000,25.833146
735488.666667,25.815519
735488.708333,25.830737
735488.750000,25.859181
735488.791667,25.851312
735488.833333,25.824761
735488.875000,25.852015
735488.916667,25.865043
735488.958333,25.870141
735489.000000,25.878878
735489.041667,25.926576
735489.083333,25.912049
735489.125000,25.945799
735489.166667,25.941674
735489.208333,25.927763
735489.250000,25.930424
735489.291667,25.911447
735489.333333,25.856973
735489.375000,25.816886
735489.416667,25.845840
735489.458333,25.811686
735489.500000,25.803443
735489.541667,25.786462
735489.583333,25.775137
735489.625000,25.757535
735489.666667,25.765088
735489.708333,25.758310
735489.750000,25.765126
735489.791667,25.760803
735489.833333,25.804013
735489.875000,25.825348
735489.916667,25.857407
735489.958333,25.835803
735490.000000,25.848988
735490.041667,25.859870
735490.083333,25.878352
735490.125000,25.872108
735490.166667,25.877500
735490.208333,25.863347
735490.250000,25.868769
735490.291667,25.853149
735490.333333,25.807523
735490.375000,25.776466
735490.416667,25.735193
735490.458333,25.699848
735490.500000,25.689118
735490.541667,25.704497
735490.583333,25.691126
735490.625000,25.694573
735490.666667,25.713730
735490.708333,25.694258
735490.750000,25.679939
735490.791667,25.692730
735490.833333,25.685128
735490.875000,25.705866
735490.916667,25.682318
735490.958333,25.690011
735491.000000,25.709150
735491.041667,25.706129
735491.083333,25.697932
735491.125000,25.719236
735491.166667,25.736406
735491.208333,25.689847
735491.250000,25.688557
735491.291667,25.701573
735491.333333,25.685574
735491.375000,25.694772
735491.416667,25.675535
735491.458333,25.659235
735491.500000,25.662129
735491.541667,25.654538
735491.583333,25.661906
735491.625000,25.696532
735491.666667,25.688388
735491.708333,25.694334
735491.750000,25.707958
735491.791667,25.687096
735491.833333,25.690742
735491.875000,25.691846
735491.916667,25.692726
735491.958333,25.721190
735492.000000,25.737122
735492.041667,25.725989
735492.083333,25.726169
735492.125000,25.712591
735492.166667,25.707234
735492.208333,25.722977
735492.250000,25.699201
735492.291667,25.710333
735492.333333,25.664781
735492.375000,25.626178
735492.416667,25.647327
735492.458333,25.627808
735492.500000,25.600319
735492.541667,25.612152
735492.583333,25.597569
735492.625000,25.615066
735492.666667,25.625505
735492.708333,25.649295
735492.750000,25.626825
735492.791667,25.619802
735492.833333,25.664751
735492.875000,25.687349
735492.916667,25.705087
735492.958333,25.716653
735493.000000,25.715842
735493.041667,25.747309
735493.083333,25.757385
735493.125000,25.787610
735493.166667,25.768788
735493.208333,25.794015
735493.250000,25.797195
735493.291667,25.788511
735493.333333,25.766982
735493.375000,25.748998
735493.416667,25.709464
735493.458333,25.694384
735493.500000,25.697136
735493.541667,25.663327
735493.583333,25.671896
735493.625000,25.668369
735493.666667,25.661534
735493.708333,25.697053
735493.750000,25.703799
735493.791667,25.720553
735493.833333,25.740944
735493.875000,25.750447
735493.916667,25.781976
735493.958333,25.785672
735494.000000,25.805304
735494.041667,25.799025
735494.083333,25.820000
735494.125000,25.793708
735494.166667,25.793128
735494.208333,25.799116
735494.250000,25.782429
735494.291667,25.768102
735494.333333,25.756741
735494.375000,25.702884
735494.416667,25.685194
735494.458333,25.670013
735494.500000,25.679459
735494.541667,25.691177
735494.583333,25.681347
735494.625000,25.651805
735494.666667,25.658593
735494.708333,25.653394
735494.750000,25.677667
735494.791667,25.653724
735494.833333,25.656280
735494.875000,25.707304
735494.916667,25.704269
735494.958333,25.734584
735495.000000,25.803851
735495.041667,25.849900
735495.083333,25.853862
735495.125000,25.864370
735495.166667,25.868709
735495.208333,25.845664
735495.250000,25.802169
735495.291667,25.768863
735495.333333,25.748976
735495.375000,25.755900
735495.416667,25.769034
735495.458333,25.747375
735495.500000,25.717830
735495.541667,25.726924
735495.583333,25.742641
735495.625000,25.756533
735495.666667,25.750122
735495.708333,25.740494
735495.750000,25.740216
735495.791667,25.781123
735495.833333,25.808284
735495.875000,25.808916
735495.916667,25.835645
735495.958333,25.840125
735496.000000,25.872707
735496.041667,25.883369
735496.083333,25.892725
735496.125000,25.874205
735496.166667,25.870080
735496.208333,25.854141
735496.250000,25.805802
735496.291667,25.786601
735496.333333,25.814157
735496.375000,25.795438
735496.416667,25.772508
735496.458333,25.761009
735496.500000,25.735856
735496.541667,25.714592
735496.583333,25.697820
735496.625000,25.667779
735496.666667,25.646634
735496.708333,25.672756
735496.750000,25.700676
735496.791667,25.718786
735496.833333,25.726510
735496.875000,25.741487
735496.916667,25.759345
735496.958333,25.789480
735497.000000,25.781010
735497.041667,25.765845
735497.083333,25.761896
735497.125000,25.766637
735497.166667,25.746335
735497.208333,25.752892
735497.250000,25.756610
735497.291667,25.761463
735497.333333,25.751637
735497.375000,25.771931
735497.416667,25.779214
735497.458333,25.763919
735497.500000,25.768628
735497.541667,25.761904
735497.583333,25.747713
735497.625000,25.736681
735497.666667,25.739237
735497.708333,25.756254
735497.750000,25.772804
735497.791667,25.744157
735497.833333,25.750154
735497.875000,25.733859
735497.916667,25.742569
735497.958333,25.765402
735498.000000,25.772852
735498.041667,25.789429
735498.083333,25.775421
735498.125000,25.765120
735498.166667,25.772122
735498.208333,25.763200
735498.250000,25.750595
735498.291667,25.756311
735498.333333,25.748047
735498.375000,25.715644
735498.416667,25.736202
735498.458333,25.732088
735498.500000,25.730430
735498.541667,25.724459
735498.583333,25.721377
735498.625000,25.722899
735498.666667,25.702069
735498.708333,25.697543
735498.750000,25.691644
735498.791667,25.716856
735498.833333,25.751799
735498.875000,25.765878
735498.916667,25.771006
735498.958333,25.776436
735499.000000,25.783988
735499.041667,25.799764
735499.083333,25.793359
735499.125000,25.782358
735499.166667,25.770429
735499.208333,25.785239
735499.250000,25.751562
735499.291667,25.737668
735499.333333,25.752772
735499.375000,25.704921
735499.416667,25.680830
735499.458333,25.670796
735499.500000,25.711131
735499.541667,25.732642
735499.583333,25.744743
735499.625000,25.759530
735499.666667,25.715691
735499.708333,25.727139
735499.750000,25.757483
735499.791667,25.729869
735499.833333,25.728859
735499.875000,25.762449
735499.916667,25.777836
735499.958333,25.794044
735500.000000,25.841697
735500.041667,25.843914
735500.083333,25.861254
735500.125000,25.883467
735500.166667,25.861837
735500.208333,25.857233
735500.250000,25.842884
735500.291667,25.790666
735500.333333,25.775178
735500.375000,25.781161
735500.416667,25.783091
735500.458333,25.769776
735500.500000,25.716041
735500.541667,25.706342
735500.583333,25.689339
