LTU014PIAEVA920', 
733034.0417,-6.81
733035.0417,-6.81
733036.0417,-6.8
733037.0417,-6.78
733038.0417,-6.8
733039.0417,-6.8
733040.0417,-6.77
733041.0417,-6.77
733042.0417,-6.75
733043.0417,-6.75
733044.0417,-6.74
733045.0417,-6.75
733046.0417,-6.73
733047.0417,-6.75
733048.0417,-6.78
733049.0417,-6.8
733050.0417,-6.8
733051,-6.77
733052,-6.8
733053,-6.77
733054,-6.74
733055,-6.81
733056,-6.76
733057,-6.72
733058,-6.73
733059,-6.77
733060,-6.9
733061,-6.85
733062,-6.81
733063,-6.88
733064,-6.91
733065,-6.91
733066,-6.89
733067,-6.9
733068,-6.99
733069,-7.09
733070,-7.13
733071,-7.15
733072,-7.2
733073,-7.22
733077.2083,-7.12
733078,-7.15
733079,-7.24
733080,-7.27
733081,-7.28
733082,-7.28
733083,-7.29
733084,-7.31
733085,-7.29
733086,-7.34
733087,-7.43
733088,-7.47
733089,-7.53
733090,-7.53
733091,-7.5
733092,-7.51
733093,-7.56
733094,-7.58
733095,-7.53
733096,-7.53
733097,-7.55
733098,-7.46
733099,-7.45
733100,-7.43
733101,-7.34
733102,-7.36
733103,-7.34
733104,-7.34
733105,-7.3
733106,-7.3
733107,-7.37
733108,-7.5
733109,-7.52
733110,-7.58
733111,-7.55
733112,-7.4
733113,-7.33
733114,-7.32
733115,-7.3
733116,-7.25
733117,-7.28
733118,-7.26
733119,-7.29
733120,-7.29
733121,-7.25
733122,-7.35
733123,-7.35
733124,-7.29
733125,-7.28
733126,-7.26
733127,-7.23
733128,-7.23
733129,-7.21
733130,-7.18
733131,-7.17
733132,-7.18
733133,-7.2
733134,-7.21
733135,-7.23
733136,-7.33
733137,-7.33
733138,-7.33
733139,-7.32
733140,-7.32
733141,-7.29
733142,-7.31
733143,-7.33
733144,-7.33
733145,-7.33
733146,-7.37
733147,-7.37
733148,-7.39
733149,-7.39
733150,-7.38
733151,-7.41
733152,-7.43
733153,-7.47
733154,-7.49
733155,-7.49
733156,-7.53
733157,-7.59
733158,-7.58
733159,-7.62
733160,-7.61
733161,-7.62
733162,-7.61
733163,-7.61
733164,-7.63
733165,-7.64
733166,-7.68
733167,-7.73
733168,-7.74
733169,-7.78
733170,-7.84
733171,-7.94
733172,-8.03
733173,-8.11
733174,-8.17
733175,-8.21
733176,-8.21
733177,-8.19
733178,-8.21
733179,-8.17
733180,-8.18
733181,-8.17
733182,-8.25
733183,-8.26
733184,-8.27
733185,-8.3
733186,-8.37
733187,-8.47
733188,-8.59
733189,-8.66
733190,-8.68
733191,-8.64
733192,-8.67
733193,-8.69
733194,-8.69
733195,-8.73
733196,-8.78
733197,-8.79
733198,-8.81
733199,-8.8
733200,-8.8
733201,-8.8
733202,-8.83
733203,-8.92
733204,-8.99
733205,-9.06
733206,-9.12
733207,-9.18
733208,-9.22
733209,-9.26
733210,-9.33
733211,-9.37
733212,-9.38
733213,-9.39
733214,-9.44
733215,-9.46
733216,-9.46
733217,-9.46
733218,-9.46
733219,-9.46
733220,-9.44
733221,-9.48
733222,-9.51
733223,-9.52
733224,-9.51
733225,-9.52
733226,-9.51
733227,-9.5
733235.625,-9.65
733236,-9.67
733237,-9.69
733238,-9.68
733239,-9.68
733240,-9.68
733241,-9.68
733242,-9.71
733243,-9.73
733244,-9.74
733245,-9.76
733246,-9.78
733247,-9.81
733248,-9.85
733249,-9.98
733250,-9.97
733251,-10.02
733252,-10.01
733253,-10.03
733254,-10.04
733255,-10.09
733256,-10.1
733257,-10.12
733258,-10.15
733259,-10.18
733260,-10.18
733261,-10.15
733262,-10.15
733263,-10.16
733264,-10.14
733265,-10.15
733266,-10.19
733267,-10.19
733277.5833,-10.08
733278,-10.06
733279,-10.07
733280,-10.06
733281,-10.06
733282,-10.06
733285.375,-10.09
733286,-10.06
733287,-10.05
733288,-10.04
733289,-10.04
733296.4167,-10.03
733297,-10
733298,-9.99
733299,-9.96
733300,-9.91
733301,-9.92
733302,-9.9
733303,-9.85
733304,-9.87
733305,-9.84
733306,-9.85
733307,-9.86
733308,-9.86
733309,-9.88
733310,-9.88
733311,-9.87
733312,-9.92
733313,-9.89
733314,-9.87
733315,-9.87
733316,-9.85
733317,-9.82
733318,-9.82
733319,-9.82
733320,-9.82
733321,-9.81
733322,-9.81
733323,-9.78
733324,-9.74
733325.375,-9.66
733326,-9.66
733327,-9.63
733328,-9.63
733329,-9.59
733330,-9.55
733331,-9.51
733332,-9.47
733333,-9.44
733334,-9.4
733335,-9.36
733336,-9.37
733337,-9.35
733338,-9.35
733339,-9.37
733340,-9.34
733341,-9.32
733342,-9.3
733343,-9.27
733344,-9.27
733345,-9.21
733346,-9.17
733347,-9.12
733348,-9.12
733349,-9.08
733350,-9.03
733351,-9
733352,-8.94
733353,-8.94
733354,-8.89
733355,-8.85
733356,-8.8
733357,-8.76
733358,-8.71
733359,-8.65
733360,-8.64
733361,-8.6
733362,-8.57
733363,-8.56
733364,-8.53
733365,-8.48
733366,-8.42
733367,-8.4
733368,-8.35
733369,-8.34
733370,-8.32
733371,-8.28
733372,-8.18
733373,-8.17
733374,-8.15
733375,-8.12
733376,-8.09
733377,-8.04
733378,-8.04
733379,-8.03
733380,-8
733381,-7.95
733382,-7.96
733383,-7.93
733384,-7.93
733385,-7.87
733386,-7.9
733387,-7.86
733388,-7.85
733389,-8.06
733390,-7.99
733391,-7.99
733392,-8.01
733393,-8.01
733394,-8
733395,-8.03
733396,-8.04
733397,-8.02
733398,-7.98
733399,-7.93
733400,-7.89
733401,-7.91
733402,-7.92
733403,-7.91
733404,-7.94
733405,-7.94
733406,-7.93
733407,-7.93
733408,-7.91
733409,-7.92
733410,-7.96
733411,-7.99
733412,-7.94
733413,-7.89
733414,-7.86
733415,-7.86
733416,-7.86
733417,-7.89
733418,-7.89
733419,-7.9
733420,-7.92
