LTU017PIAPRG300',2009-12-07-16:00:00'
734169.875 , -16.88
734169.958333333 , -16.86
734170.041666667 , -16.86
734170.125 , -16.85
734170.208333333 , -16.84
734170.291666667 , -16.84
734170.375 , -16.83
734170.458333333 , -16.83
734170.541666667 , -16.84
734170.625 , -16.85
734170.708333333 , -16.85
734170.791666667 , -16.85
734170.875 , -16.85
734170.958333333 , -16.84
734171.041666667 , -16.84
734171.125 , -16.81
734171.208333333 , -16.8
734171.291666667 , -16.8
734171.375 , -16.8
734171.458333333 , -16.79
734171.541666667 , -16.81
734171.625 , -16.83
734172.958333333 , -16.69
734173.5 , -16.67
734173.958333333 , -16.67
734174.5 , -16.64
734174.958333333 , -16.63
734175.5 , -16.63
734175.958333333 , -16.62
734176.5 , -16.62
734176.958333333 , -16.62
734177.5 , -16.6
734177.958333333 , -16.62
734178.5 , -16.64
734178.958333333 , -16.68
734179.5 , -16.6
734179.958333333 , -16.74
734180.5 , -16.7
734180.958333333 , -16.73
734181.5 , -16.73
734181.958333333 , -16.75
734182.5 , -16.77
734182.958333333 , -16.84
734183.5 , -16.84
734183.958333333 , -16.84
734184.5 , -16.85
734184.958333333 , -16.91
734193.041666667 , -17.1
734193.5 , -17.12
734194.041666667 , -17.15
734194.5 , -17.16
734195.041666667 , -17.17
734195.5 , -17.18
734196.041666667 , -17.2
734196.5 , -17.27
734197.041666667 , -17.28
734197.5 , -17.3
734198.041666667 , -17.31
734199.041666667 , -17.35
734199.5 , -17.37
734199.958333333 , -17.43
734200.5 , -17.42
734200.958333333 , -17.46
734201.5 , -17.43
734201.958333333 , -17.47
734202.5 , -17.43
734202.958333333 , -17.47
734203.5 , -17.46
734203.958333333 , -17.52
734204.5 , -17.51
734204.958333333 , -17.55
734205.5 , -17.57
734205.958333333 , -17.58
734206.5 , -17.57
734206.958333333 , -17.59
734207.5 , -17.57
734207.958333333 , -17.62
734208.5 , -17.61
734208.708333333 , -17.64
734208.75 , -17.67
734208.791666667 , -17.67
734208.833333333 , -17.68
734208.875 , -17.67
734208.916666667 , -17.67
734208.958333333 , -17.67
