'LTU016PIAPE910',2003-01-08-00:00:00'
732880,4.22
732881,4.2
732882,4.18
732883,4.2
732884,4.21
732885,4.28
732886,4.29
732887,4.29
732888,4.3
732889,4.3
732890,4.31
732891,4.34
732892,4.36
732893,4.33
732894,4.32
732895,4.31
732896,4.28
732897,4.3
732898,4.28
732899,4.28
732900,4.24
732901,4.18
732902,4.13
732903,4.12
732904,4.11
732905,4.07
732906,4.06
732907,4.07
732908,4.07
732909,4.08
732910,4.05
732911,4.04
732912,4.02
732913,3.98
732914,3.94
732915,3.92
732916,3.89
732917,3.85
732918,3.87
732919,3.79
732920,3.9
732921,3.9
732922,3.89
732923,3.87
732924,3.84
732925,3.82
732926,3.83
732927,3.8
732928,3.77
732929,3.76
732930,3.7
732931,3.67
732932,3.61
732933,3.62
732934,3.65
732935,3.65
732936,3.66
732937,3.67
732938,3.69
732939.125,3.68
732940,3.65
732941,3.64
732942,3.6
732943,3.58
732944,3.54
732945,3.51
732946,3.47
732947,3.45
732948,3.41
732949,3.4
732950,3.35
732951,3.3
732952,3.26
732953,3.24
732954,3.2
732955,3.17
732956,3.13
732957,3.06
732958,3.03
732959,3.02
732960,2.99
732961,2.98
732962,2.97
732963,2.95
732964,2.91
732965,2.88
732966,2.84
732967,2.81
732968,2.8
732969,2.77
732970,2.77
732971,2.75
732972,2.76
732973,2.75
732974,2.71
732975,2.69
732976,2.63
732977,2.58
732978,2.54
732979,2.5
732980,2.43
732981,2.39
732982,2.37
732983,2.35
732984,2.3
732985,2.25
732986,2.2
732987,2.16
732988,2.16
732989,2.16
732990,2.16
732991,2.17
732992,2.16
732993,2.13
732994,2.12
732995,2.12
732996,2.13
732997,2.13
732998,2.16
732999,2.18
733000,2.13
733001,2.07
733002,2.02
733003,2.01
733004,1.97
733005,1.97
733006,1.94
733007,1.93
733008,1.91
733014.9167,1.74
733015,1.74
733016,1.71
733017,1.65
733018,1.64
733019,1.6
733020,1.57
733021,1.56
733022,1.54
733023,1.54
733024,1.53
733025,1.55
733026,1.57
733027,1.58
733028,1.59
733029,1.59
733030,1.58
733031,1.54
733032,1.54
733033,1.51
733034,1.47
733035,1.5
733036,1.52
733037,1.53
733038,1.52
733039,1.5
733040,1.46
733041,1.44
733042,1.41
733043,1.41
733044,1.44
733045,1.44
733046,1.45
733047,1.49
733048,1.53
733049,1.55
733050,1.54
733051,1.55
733052,1.55
733053,1.5
733054,1.48
733055,1.43
733056,1.47
733057,1.44
733058,1.41
733059,1.37
733060,1.35
733061,1.35
733062,1.36
733063,1.34
733064,1.31
733065,1.3
733066,1.3
733067,1.32
733068,1.27
733069,1.22
733070,1.18
733071,1.17
733072,1.15
733073,1.1
733077.2083,1.17
733078,1.19
733079,1.14
733080,1.13
733081,1.1
733082,1.1
733083,1.09
733084,1.12
733085,1.11
733086,1.13
733087,1.11
733088,1.1
733089,1.09
733090,1.1
733091,1.11
733092,1.15
733093,1.13
733094,1.15
733095,1.16
733096,1.17
733097,1.18
733098,1.22
733099,1.23
733100,1.24
733101,1.25
733102,1.25
733103,1.25
733104,1.22
733105,1.26
733106,1.3
733107,1.31
733108,1.3
733109,1.28
733110,1.26
733111,1.25
733112,1.28
733113,1.32
733114,1.37
733115,1.42
733116,1.46
733117,1.47
733118,1.46
733119,1.45
733120,1.44
733121,1.42
733122,1.44
733123,1.42
733124,1.46
733125,1.48
733126,1.51
733127,1.54
733128,1.58
733129,1.62
733130,1.63
733131,1.65
733132,1.69
733133,1.7
733134,1.72
733135,1.72
733136,1.74
733137,1.73
733138,1.75
733139,1.75
733140,1.74
733141,1.75
733142,1.75
733143,1.77
733144,1.79
733145,1.8
733146,1.81
733147,1.86
733148,1.87
733149,1.86
733150,1.88
733151,1.94
733152,1.99
733153,2.06
733154,2.11
733155,2.15
733156,2.24
733157,2.21
733158,2.22
733159,2.29
733160,2.29
733161,2.32
733162,2.34
733163,2.32
733164,2.34
733165,2.39
733166,2.45
733167,2.51
733168,2.53
733169,2.57
733170,2.66
733171,2.72
733172,2.81
733173,2.89
733174,2.91
733175,2.9
733176,2.94
733177,2.99
733178,2.99
733179,3
733180,3.02
733181,3.06
733182,3.14
733183,3.14
733184,3.17
733185,3.23
733186,3.28
733187,3.35
733188,3.44
733189,3.49
733190,3.5
733191,3.52
733192,3.55
733193,3.56
733194,3.58
733195,3.65
733196,3.69
733197,3.74
733198,3.74
733199,3.76
733200,3.73
733201,3.74
733202,3.79
733203,3.84
733204,3.87
733205,3.93
733206,3.95
733207,4
733208,4.05
733209,4.1
733210,4.13
733211,4.12
733212,4.17
733213,4.22
733214,4.24
733215,4.27
733216,4.26
733217,4.23
733218,4.26
733219,4.28
733220,4.31
733221,4.31
733222,4.31
733223,4.3
733224,4.28
733225,4.25
733226,4.24
733227,4.26
733228,4.27
733229,4.25
733230,4.25
733231,4.28
733232,4.3
733233,4.27
733234,4.26
733235,4.26
733236,4.29
733237,4.26
733238,4.28
733239,4.25
733240,4.27
733241,4.28
733242,4.31
733243,4.32
733244,4.31
733245,4.32
733246,4.34
733247,4.38
733248,4.43
733249,4.46
733250,4.51
733251,4.53
733252,4.5
733253,4.51
733254,4.52
733255,4.54
733256,4.54
733257,4.58
733258,4.58
733259,4.57
733260,4.56
733261,4.53
733262,4.54
733263,4.49
733264,4.5
733265,4.51
733266,4.53
733267,4.53
733268,4.51
733269,4.49
733270,4.48
733271,4.44
733272,4.41
733273,4.4
733274,4.38
733275,4.35
733276,4.35
733277,4.37
733278,4.36
733279,4.35
733280,4.34
733281,4.33
733282.625,4.34
733283,4.34
733284,4.34
733285,4.31
733286,4.29
733287,4.26
733288,4.26
733289,4.26
733290,4.24
733291,4.21
733292,4.2
733293,4.22
733294,4.23
733295,4.2
733296,4.19
733297,4.15
733298,4.09
733299,4.07
733300,4.05
733301,4.02
733302,3.97
733303,3.95
733304,3.77
733305,3.98
733306,3.99
733307,3.99
733308,3.99
733309,3.98
733310,3.96
733311,3.99
733312,3.99
733313,3.97
733314,3.93
733315,3.91
733316,3.87
733317,3.86
733323,3.78
733324,3.73
733325,3.71
733326,3.68
733327,3.66
733328,3.63
733329,3.57
733330,3.53
733331,3.53
733332,3.46
733333,3.44
733334,3.43
733335,3.46
733336,3.45
733337,3.45
733338,3.46
733339,3.43
733340,3.39
733341,3.34
733342,3.31
733343,3.3
733344,3.23
733345,3.17
733346,3.13
733347,3.12
733348,3.09
733349,3.05
733350,3
733351,2.98
733352,2.94
733353,2.9
733354,2.86
733355,2.82
733356,2.78
733357,2.74
733358,2.7
733359,2.66
733360,2.65
733361,2.67
733362,2.65
733363,2.61
733364,2.56
733365,2.53
733366,2.5
733367,2.47
733368,2.45
733369,2.4
733370,2.38
733371,2.33
733372,2.3
733373,2.31
733378.5,0
733379.5,0
733380.5,0
733381.5,0
733382.5,0
733383.5,0
733384.5,0
733385.5,0
733388.5,0
733389.5,0
733390.5,0
733391.5,0
733392.5,0
733396.5417,1.77
733396.5833,1.77
733396.625,1.77
733396.6667,1.77
733396.7083,1.78
733396.75,1.79
733396.7917,1.79
733396.8333,1.78
733396.875,1.78
733396.9167,1.79
733396.9583,1.79
733397,1.79
733397.0417,1.79
733397.0833,1.79
733397.125,1.79
733397.1667,1.79
733397.2083,1.79
733397.25,1.79
733397.2917,1.79
733397.3333,1.78
733397.375,1.79
733397.4167,1.78
733397.4583,1.77
733397.5,1.77
733397.5417,1.77
733397.5833,1.77
733397.625,1.77
733397.6667,1.77
733397.7083,1.77
733397.75,1.77
733397.7917,1.77
733397.8333,1.78
733397.875,1.77
733397.9167,1.78
733397.9583,1.79
733398,1.78
733398.0417,1.78
733398.0833,1.78
733398.125,1.79
733398.1667,1.79
733398.2083,1.79
733398.25,1.79
733398.2917,1.79
733398.3333,1.79
733398.375,1.79
733398.4167,1.79
733398.4583,1.78
733398.5,1.79
733398.5417,1.79
733398.5833,1.79
733398.625,1.79
733398.6667,1.79
733398.7083,1.79
733398.75,1.79
733398.7917,1.79
733398.8333,1.81
