'TS062NC1',2007-08-22-00:00:00'
733654.7708,14.75925
733654.7917,14.57875
733654.8125,14.33975
733654.8333,13.41758333
733654.8542,13.58391667
733654.875,13.49975
733654.8958,13.37491667
733654.9167,13.362
733654.9375,13.14083333
733654.9583,12.93225
733654.9792,12.84958333
733655,12.91391667
733655.0208,12.83858333
733655.0417,12.80458333
733655.0625,12.809
733655.0833,12.73841667
733655.1042,12.79075
733655.125,12.718
733655.1458,12.705
733655.1667,12.48266667
733655.1875,12.03341667
733655.2083,11.92166667
733655.2292,11.81558333
733655.25,11.7205
733655.2708,11.85366667
733655.2917,12.23433333
733655.3125,12.40908333
733655.3333,12.64308333
733655.3542,13.08866667
733655.375,13.85816667
733655.3958,14.24083333
733655.4167,15.57783333
733655.4375,16.53066667
733655.4583,16.08525
733655.4792,16.52275
733655.5,17.71116667
733655.5208,18.73916667
733655.5417,19.44491667
733655.5625,19.08933333
733655.5833,19.47325
733655.6042,18.80883333
733655.625,18.20541667
733655.6458,17.85916667
733655.6667,17.91433333
733655.6875,17.02033333
733655.7083,16.61633333
733655.7292,16.32925
733655.75,15.14058333
733655.7708,14.91958333
733655.7917,14.50583333
733655.8125,14.091125
733655.8333,13.88004167
733655.8542,13.75320833
733655.875,13.74195833
733655.8958,13.54725
733655.9167,13.47654167
733655.9375,13.27145833
733655.9583,13.338875
733655.9792,13.29116667
733656,13.26333333
733656.0208,13.16908333
733656.0417,13.21
733656.0625,13.18458333
733656.0833,13.12316667
733656.1042,13.05775
733656.125,13.06791667
733656.1458,13.090875
733656.1667,13.09795833
733656.1875,13.15366667
733656.2083,13.122625
733656.2292,13.199875
733656.25,13.29841667
733656.2708,13.389625
733656.2917,13.46916667
733656.3125,13.4965
733656.3333,13.535875
733656.3542,14.448125
733656.375,14.06929167
733656.3958,14.98579167
733656.4167,15.66470833
733656.4375,17.119
733656.4583,16.23120833
733656.4792,15.69070833
733656.5,15.37520833
733656.5208,14.35770833
733656.5417,13.753375
733656.5625,13.70429167
733656.5833,14.54179167
733656.6042,14.35083333
733656.625,13.703875
733656.6458,13.45366667
733656.6667,13.589625
733656.6875,13.46583333
733656.7083,13.35475
733656.7292,13.30691667
733656.75,13.37170833
733656.7708,13.07104167
733656.7917,12.86870833
733656.8125,12.77579167
733656.8333,12.781
733656.8542,12.58479167
733656.875,12.599375
733656.8958,12.53404167
733656.9167,12.541625
733656.9375,12.53570833
733656.9583,12.42333333
733656.9792,12.38179167
733657,12.40775
733657.0208,12.37504167
733657.0417,12.26325
733657.0625,12.22375
733657.0833,12.20925
733657.1042,12.23333333
733657.125,12.028625
733657.1458,12.03125
733657.1667,11.85508333
733657.1875,11.94233333
733657.2083,11.90141667
733657.2292,11.77725
733657.25,11.74883333
733657.2708,11.77625
733657.2917,12.083
733657.3125,12.45633333
733657.3333,13.11625
733657.3542,13.93216667
733657.375,13.80633333
733657.3958,14.66233333
733657.4167,15.11275
733657.4375,14.85491667
733657.4583,15.00975
733657.4792,14.93108333
733657.5,15.78716667
733657.5208,15.33733333
733657.5417,15.7375
733657.5625,16.08458333
733657.5833,16.10808333
733657.6042,16.2045
733657.625,16.55075
733657.6458,15.94141667
733657.6667,15.61383333
733657.6875,15.35808333
733657.7083,15.02041667
733657.7292,14.67266667
733657.75,14.44958333
733657.7708,14.08025
733657.7917,13.86066667
733657.8125,13.59725
733657.8333,13.39075
733657.8542,13.16458333
733657.875,12.9595
733657.8958,12.84391667
733657.9167,12.73541667
733657.9375,12.542
733657.9583,12.51766667
733657.9792,12.37733333
733658,12.42016667
733658.0208,12.43058333
733658.0417,12.58483333
733658.0625,12.624
733658.0833,12.67775
733658.1042,12.77541667
733658.125,12.78783333
733658.1458,12.82183333
733658.1667,12.630375
733658.1875,12.388375
733658.2083,12.144875
733658.2292,11.98320833
733658.25,11.86845833
733658.2708,11.91308333
733658.2917,12.01354167
733658.3125,12.28666667
733658.3333,13.01020833
733658.3542,13.82458333
733658.375,14.33395833
733658.3958,15.86520833
733658.4167,16.65395833
733658.4375,17.73479167
733658.4583,19.11229167
733658.4792,19.83416667
733658.5,20.80666667
733658.5208,21.36791667
733658.5417,21.29
733658.5625,21.961875
733658.5833,22.950625
733658.6042,23.01479167
733658.625,22.48208333
733658.6458,22.1775
733658.6667,21.49854167
733658.6875,20.89291667
733658.7083,19.45104167
733658.7292,19.20854167
733658.75,18.119375
733658.7708,16.97520833
733658.7917,16.27583333
733658.8125,15.815625
733658.8333,15.40666667
733658.8542,14.855
733658.875,14.44770833
733658.8958,13.89208333
733658.9167,13.43479167
733658.9375,13.021875
733658.9583,12.598125
733658.9792,12.22375
733659,11.83708333
733659.0208,11.56520833
733659.0417,11.41583333
733659.0625,11.11125
733659.0833,10.82625
733659.1042,10.53229167
733659.125,10.505625
733659.1458,10.22204167
733659.1667,10.01520833
733659.1875,9.94275
733659.2083,9.809791667
733659.2292,9.5890625
733659.25,9.475604167
733659.2708,9.557520833
733659.2917,9.635979167
733659.3125,9.674729167
733659.3333,10.044375
733659.3542,10.12795833
733659.375,10.54991667
733659.3958,11.26970833
733659.4167,11.47675
733659.4375,12.084375
733659.4583,12.927625
733659.4792,13.59016667
733659.5,13.51075
733659.5208,13.93125
733659.5417,15.3315
733659.5625,15.3435
733659.5833,15.71075
733659.6042,15.56308333
733659.625,15.57233333
733659.6458,15.407
733659.6667,15.34341667
733659.6875,15.69441667
733659.7083,16.25016667
733659.7292,15.50458333
733659.75,15.16258333
733659.7708,14.93558333
733659.7917,14.40916667
733659.8125,13.87075
733659.8333,13.569
733659.8542,13.29425
733659.875,13.05366667
733659.8958,12.91058333
733659.9167,12.74516667
733659.9375,12.55925
733659.9583,12.30141667
733659.9792,12.25566667
733660,12.25058333
733660.0208,12.31375
733660.0417,12.44583333
733660.0625,12.56458333
733660.0833,12.6405
733660.1042,12.75391667
733660.125,12.81975
733660.1458,12.93466667
733660.1667,13.13633333
733660.1875,13.24125
733660.2083,13.36366667
733660.2292,13.54308333
733660.25,13.6715
733660.2708,13.9295
733660.2917,14.07341667
733660.3125,14.20541667
733660.3333,14.337
733660.3542,14.44766667
733660.375,14.44916667
733660.3958,14.53816667
733660.4167,14.62
733660.4375,14.79283333
733660.4583,14.89441667
733660.4792,15.29383333
733660.5,15.53191667
733660.5208,16.03620833
733660.5417,17.02820833
733660.5625,16.72333333
733660.5833,18.26858333
733660.6042,17.98408333
733660.625,17.73158333
733660.6458,17.536875
733660.6667,17.47808333
733660.6875,17.62129167
733660.7083,17.82525
733660.7292,17.25391667
733660.75,16.50716667
733660.7708,16.02108333
733660.7917,15.71804167
733660.8125,15.43979167
733660.8333,15.24070833
733660.8542,15.001375
733660.875,14.90420833
733660.8958,14.663
733660.9167,14.65975
733660.9375,14.523
