'CLASS01',2007-08-22-00:00:00'
733292.25,21.87499994
733292.2708,31.49999999
733292.2917,37.50000001
733292.3125,37.37500002
733292.3333,31.12500002
733292.3542,23.00000001
733292.375,13.00000004
733292.3958,8.374999999
733292.4167,9.125000001
733292.4375,9.874999998
733292.4583,10.625
733292.4792,12.125
733292.5,14.37499999
733292.5208,15.5
733292.5417,15.5
733292.5625,15.75
733292.5833,16.25
733292.6042,16
733292.625,15
733292.6458,14.625
733292.6667,14.875
733292.6875,16.49999999
733292.7083,19.49999999
733292.7292,19.625
733292.75,16.87500001
733292.7708,13.37500001
733292.7917,9.124999994
733292.8125,6.875000001
733292.8333,6.625000001
733292.8542,6.5
733292.875,6.5
733292.8958,5.500000003
733292.9167,3.499999997
733292.9375,2.125000002
733292.9583,1.375000002
733292.9792,1
733293,1
733293.0208,0.875
733293.0417,0.625
733293.0625,0.5
733293.0833,0.5
733293.1042,0.375
733293.125,0.125000001
733293.1458,0.374999999
733293.1667,1.125000001
733293.1875,1.874999998
733293.2083,2.624999998
733293.2292,4.499999996
733293.25,7.499999987
733293.2708,10.75
733293.2917,14.25
733293.3125,15.375
733293.3333,14.125
733293.3542,13.125
733293.375,12.375
733293.3958,13.625
733293.4167,16.875
733293.4375,18.625
733293.4583,18.875
733293.4792,18.25
733293.5,16.75000001
733293.5208,14.625
733293.5417,11.875
733293.5625,10.875
733293.5833,11.625
733293.6042,12.125
733293.625,12.375
733293.6458,13.375
733293.6667,15.125
733293.6875,14.87500001
733293.7083,12.62500001
733293.7292,11.625
733293.75,11.875
733293.7708,11
733293.7917,8.999999997
733293.8125,6.875000006
733293.8333,4.625000006
733293.8542,3.999999999
733293.875,4.999999996
733293.8958,4.625000002
733293.9167,2.874999998
733293.9375,1.875000001
733293.9583,1.625000001
733293.9792,1.125000001
733294,0.375000003
733294.0208,0
733294.0417,0
733294.0625,0
733294.0833,0
733294.1042,0
733294.125,0
733294.1458,0
733294.1667,0
733294.1875,0.124999999
733294.2083,0.374999999
733294.2292,1.124999998
733294.25,2.374999995
733294.2708,3.624999998
733294.2917,4.875000002
733294.3125,6.374999995
733294.3333,8.124999995
733294.3542,9.499999999
733294.375,10.5
733294.3958,11.875
733294.4167,13.625
733294.4375,17.49999998
733294.4583,23.49999998
733294.4792,25.875
733294.5,24.62500001
733294.5208,21.12500001
733294.5417,15.37499999
733294.5625,14.74999999
733294.5833,19.24999999
733294.6042,21.125
733294.625,20.375
733294.6458,19.25
733294.6667,17.75
733294.6875,16.00000001
733294.7083,14.00000001
733294.7292,12.75
733294.75,12.25
733294.7708,10.625
733294.7917,7.874999996
733294.8125,5.875000003
733294.8333,4.625000003
733294.8542,4.499999999
733294.875,5.499999996
733294.8958,5.500000001
733294.9167,4.499999999
733294.9375,3.125000005
733294.9583,1.375000005
733294.9792,0.749999999
733295,1.249999998
733295.0208,1.125000001
733295.0417,0.374999999
733295.0625,0.124999999
733295.0833,0.374999999
733295.1042,0.5
733295.125,0.5
733295.1458,0.874999999
733295.1667,1.625000001
733295.1875,2.374999998
733295.2083,3.124999998
733295.2292,9.124999984
733295.25,20.37499995
733295.2708,30.49999999
733295.2917,39.50000001
733295.3125,40.12500002
733295.3333,32.37500002
733295.3542,24.50000001
733295.375,16.50000003
733295.3958,12
733295.4167,11
733295.4375,10.25
733295.4583,9.750000001
733295.4792,8.875000002
733295.5,7.625000005
733295.5208,7.874999998
733295.5417,9.625000002
733295.5625,10.875
733295.5833,11.625
733295.6042,13.125
733295.625,15.37499999
733295.6458,16.125
733295.6667,15.375
733295.6875,15.25
733295.7083,15.75
733295.7292,15.125
733295.75,13.37500001
733295.7708,11
733295.7917,7.999999996
733295.8125,7.499999994
733295.8333,9.499999994
733295.8542,11
733295.875,12
733295.8958,10.00000001
733295.9167,4.999999993
733295.9375,2.000000003
733295.9583,1.000000003
733295.9792,0.5
733296,0.5
733296.0208,0.375
733296.0417,0.125
733296.0625,0
733296.0833,0
733296.1042,0.249999999
733296.125,0.749999998
733296.1458,1.374999999
733296.1667,2.125000001
733296.1875,3.124999997
733296.2083,4.374999997
733296.2292,10.37499998
733296.25,21.12499995
733296.2708,32.99999998
733296.2917,46.00000002
733296.3125,46.12500004
733296.3333,33.37500004
733296.3542,22.75000001
733296.375,14.25000004
733296.3958,9.250000002
733296.4167,7.749999998
733296.4375,7.249999999
733296.4583,7.749999999
733296.4792,8.249999999
733296.5,8.749999998
733296.5208,9.374999999
733296.5417,10.125
733296.5625,11.25
733296.5833,12.75
733296.6042,13.625
733296.625,13.875
733296.6458,15.125
733296.6667,17.375
733296.6875,18.125
733296.7083,17.375
733296.7292,15.5
733296.75,12.50000001
733296.7708,10.375
733296.7917,9.124999998
733296.8125,7.125000008
733296.8333,4.375000008
733296.8542,3.999999997
733296.875,5.999999992
733296.8958,6.250000002
733296.9167,4.749999998
733296.9375,3.375000003
733296.9583,2.125000003
733296.9792,1.375
733297,1.125000001
733297.0208,1
733297.0417,1
733297.0625,0.750000001
733297.0833,0.250000001
733297.1042,0
733297.125,0
733297.1458,0.374999999
733297.1667,1.125000001
733297.1875,1.999999997
733297.2083,2.999999997
733297.2292,9.249999984
733297.25,20.74999995
733297.2708,32.62499998
733297.2917,44.87500002
733297.3125,43.87500004
733297.3333,29.62500004
733297.3542,19.25000001
733297.375,12.75000003
733297.3958,10.125
733297.4167,11.375
733297.4375,10.37500001
733297.4583,7.125000009
733297.4792,8.624999991
733297.5,14.87499997
733297.5208,16.5
733297.5417,13.5
733297.5625,11.5
733297.5833,10.5
733297.6042,11.375
733297.625,14.12499999
733297.6458,16.125
733297.6667,17.375
733297.6875,19.99999999
733297.7083,23.99999999
733297.7292,23.87500001
733297.75,19.62500002
733297.7708,14.62500001
733297.7917,8.874999992
733297.8125,6.749999996
733297.8333,8.249999996
733297.8542,8.125000002
733297.875,6.375000007
733297.8958,5.375
733297.9167,5.125
733297.9375,4.375000003
733297.9583,3.125000003
733297.9792,2.375
733298,2.125000001
733298.0208,1.625000001
733298.0417,0.874999999
733298.0625,0.375000001
733298.0833,0.125000001
733298.1042,0.125
733298.125,0.374999999
733298.1458,0.5
733298.1667,0.5
733298.1875,1.249999996
733298.2083,2.749999996
733298.2292,8.874999985
733298.25,19.62499995
733298.2708,32.99999998
733298.2917,49.00000002
733298.3125,48.50000005
733298.3333,31.50000005
733298.3542,18.37500001
733298.375,9.125000039
733298.3958,5.624999997
733298.4167,7.875000003
733298.4375,8.625000002
733298.4583,7.875000002
733298.4792,7.874999999
733298.5,8.624999997
733298.5208,9
733298.5417,9
733298.5625,10.99999999
733298.5833,14.99999999
733298.6042,16.625
733298.625,15.875
733298.6458,15.75
733298.6667,16.25
